method,method_id,number_examples,F1,EM,delta_F1_vs_Full,delta_F1_CI_low,delta_F1_CI_high,delta_EM_vs_Full,delta_EM_CI_low,delta_EM_CI_high,adjusted_loss,adjusted_loss_CI_low,adjusted_loss_CI_high,mean_absolute_utility_perturbation,answer_changes,answer_change_rate,full_correct_to_wrong,full_wrong_to_correct,both_wrong_different,block_density,mean_active_blocks_per_local_unit,recurrence1_attention_mass,future_full_attention_mass_retained,normalized_attention_work,theoretical_attention_work_saving
Full,full,100,0.25159686065568415,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,,,,,,
Static-95,b32_static_95,100,0.15478443245780707,0.04,-0.09681242819787711,-0.15365205056381526,-0.04283168472824046,-0.1,-0.17,-0.04,0.5885576546192169,0.38639490343630317,0.8096289660781619,0.8825176938809455,74,0.74,11,1,62,0.3461074338691582,6.3980107096124765,0.9688991951942444,0.8843282967433332,0.5844810888965449,0.41551891110345507
Static-MassMatched,b32_static_massmatched,100,0.2055020890873832,0.11,-0.046094771568300975,-0.10369195522614641,0.010653598901098892,-0.03,-0.09,0.03,0.7584284162521362,0.5275756999105214,1.0033017251193523,0.8982345604710281,66,0.66,6,3,57,0.422296660714914,7.886114954202217,0.9681932926177979,0.927186433404684,0.6346453679316335,0.36535463206836644
Static-SizeMatched,b32_static_sizematched,100,0.24464253720136075,0.14,-0.0069543234543234566,-0.0580920576563959,0.04288519144254438,0.0,-0.05,0.05,0.1462613606452942,0.03255540756881238,0.26162406153976914,0.39363280083984137,54,0.54,3,3,48,0.4957985093302456,9.408097540659853,0.9783113181591034,0.9487388328984379,0.6811057073869006,0.3188942926130995
WISE,b32_wise_12,100,0.24973159548607118,0.14,-0.0018652651696129962,-0.013318681318681318,0.007538461538461538,0.0,0.0,0.0,-0.006928260326385498,-0.034003375887870786,0.018555240556597706,0.09748809703509323,16,0.16,0,0,16,0.4957985093302456,9.408097540659853,0.9625887316465378,0.9691815349608659,0.6805201441661207,0.3194798558338794
