B,Hotpot_N,Hotpot_F1,Hotpot_density,Hotpot_future_mass,2Wiki_N,2Wiki_F1,2Wiki_density,2Wiki_future_mass,systems_2K_N,systems_2K_density,systems_2K_future_mass,systems_2K_setup_inclusive_speedup,selected_kernel_config,quality_provenance,systems_provenance,systems_4K_N,systems_4K_density,systems_4K_future_mass,systems_4K_setup_inclusive_speedup
16,100,0.2253464198463265,0.37596560090780257,0.9634326466098431,100,0.2831362832214226,0.41186915695667264,0.9653152671679854,30,0.31123927577076643,0.9622485317605914,1.14082267378346,w2_s3_natural,newly recomputed,newly recomputed,30,0.31486095575691736,0.9595105204798958,1.1457711302666989
32,100,0.23173499503924952,0.44992192506790163,0.9665668943598866,100,0.24973159548607118,0.49579851031303407,0.9691815349608659,30,0.37513577488790617,0.9646411511392305,1.6555443584512948,w2_s3_natural,newly recomputed,newly recomputed,30,0.36916828197674556,0.9609288134719386,1.7688956568970529
64,100,0.24626044387661786,0.5350751873850822,0.9710637501254678,100,0.25991309997192347,0.5896805354952812,0.9748162548691033,30,0.44712506850025185,0.9682894202163724,1.4402431222922107,w2_s3_natural,newly recomputed,newly recomputed,30,0.42463461888088416,0.9632416126583562,1.5541342105386926
128,100,0.2308768508360454,0.6426385486125946,0.9774822252616288,100,0.256188363923658,0.7039742070436478,0.9823723511323332,30,0.5444308526440879,0.9735712539427207,1.2355330453952438,w2_s3_natural,newly recomputed,newly recomputed,30,0.48946142139873816,0.9667242183558868,1.3937985623218265
