B,block_density_percent,future_mass_percent,dense_ms_median,wise_ms_median,speedup,q25,q75,wise_ms_q25,wise_ms_q75,paired_speedup_q25,paired_speedup_q75,correctness,selected_kernel_config
16,31.123927577076643,96.22485317605914,43.06534385681152,37.74937582015991,1.14082267378346,37.59577536582947,38.33043193817139,37.59577536582947,38.33043193817139,1.1252045643078286,1.1495312959946318,PASS,w2_s3_natural
32,37.51357748879062,96.46411511392306,43.06534385681152,26.012799739837646,1.6555443584512948,25.864128351211548,26.036608338356018,25.864128351211548,26.036608338356018,1.6495214384251258,1.671847079599525,PASS,w2_s3_natural
64,44.712506850025186,96.82894202163725,43.06534385681152,29.901440382003784,1.4402431222922107,29.777664303779602,30.132864236831665,29.777664303779602,30.132864236831665,1.4321132972219663,1.4462798598984876,PASS,w2_s3_natural
128,54.443085264408786,97.35712539427207,43.06534385681152,34.855679512023926,1.2355330453952438,34.67488074302673,35.03321576118469,34.67488074302673,35.03321576118469,1.2316374594131856,1.2461836467044574,PASS,w2_s3_natural
