benchmark,method,N,F1,EM,delta_F1_vs_Full,delta_F1_CI_low,delta_F1_CI_high,delta_EM_vs_Full,answer_changes_vs_Full,block_density,future_mass,adjusted_loss_vs_matched_Full,adjusted_loss_CI_low,adjusted_loss_CI_high
HotpotQA,Full,100,0.22629013491589967,0.1,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
HotpotQA,Truncate@12,100,0.21405225404800088,0.09,-0.012237880867898803,-0.04744554049506812,0.024304796609045488,-0.01,59,,,0.12627361178398133,0.007998785436153415,0.23949296763539313
HotpotQA,Freeze-A,100,0.2163950133519326,0.08,-0.009895121563967064,-0.0415734945610512,0.022039017035273053,-0.02,55,0.44992192574404877,0.9665668943598866,0.023262829780578614,-0.11146435618400574,0.1518944795131683
HotpotQA,WISE,100,0.23173499503924952,0.1,0.005444860123349825,-0.017430259443074088,0.025866605588030073,0.0,24,0.44992192574404877,0.9665668943598866,-0.02443065106868744,-0.05247594866156578,0.004275180935859675
2WikiMultihopQA,Full,100,0.25159686065568415,0.14,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
2WikiMultihopQA,Truncate@12,100,0.20912671272655792,0.11,-0.042470147929126255,-0.08942608577138375,0.0015529683852439117,-0.03,43,,,0.25620990097522733,0.13837321142852307,0.38111558143794527
2WikiMultihopQA,Freeze-A,100,0.20005438352497176,0.1,-0.05154247713071243,-0.09240895623983861,-0.01652089597494011,-0.04,48,0.4957985093302456,0.9691815349608659,0.2430571573972702,0.1379401067495346,0.3584813229292631
2WikiMultihopQA,WISE,100,0.24973159548607118,0.14,-0.0018652651696129962,-0.013329274831448749,0.00773711578276795,0.0,16,0.4957985093302456,0.9691815349608659,-0.006928260326385498,-0.03429512721300125,0.01905248972773552
