benchmark,method,N,F1,EM,delta_F1_vs_Full,delta_F1_CI_low,delta_F1_CI_high,delta_EM_vs_Full,answer_changes_vs_Full,block_density,future_mass,adjusted_loss_vs_matched_Full,adjusted_loss_CI_low,adjusted_loss_CI_high
HotpotQA,Full,100,0.22629013491589967,0.1,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
HotpotQA,Freeze-A,100,0.2163950133519326,0.08,-0.009895121563967064,-0.041721228780552726,0.021355142721915153,-0.02,55,0.44992192574404877,0.9665668943598866,0.023262829780578614,-0.11105040249228477,0.1535903137922287
HotpotQA,WISE,100,0.23173499503924952,0.1,0.005444860123349825,-0.017351790584828337,0.026051060428892225,0.0,24,0.44992192574404877,0.9665668943598866,-0.02443065106868744,-0.05376457114517689,0.003758481383323666
2WikiMultihopQA,Full,100,0.25159686065568415,0.14,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
2WikiMultihopQA,Freeze-A,100,0.20005438352497176,0.1,-0.05154247713071243,-0.09260864597004304,-0.01535514893603129,-0.04,48,0.4957985093302456,0.9691815349608659,0.2430571573972702,0.13754698929190637,0.3583557335585355
2WikiMultihopQA,WISE,100,0.24973159548607118,0.14,-0.0018652651696129962,-0.013318681318681318,0.007555555555555554,0.0,16,0.4957985093302456,0.9691815349608659,-0.006928260326385498,-0.03414256629347801,0.018871917501091948
