context_length,number_examples,actual_mean_tokens,actual_min_tokens,actual_max_tokens,full_f1,b32_f1,f1_difference,f1_difference_ci_low,f1_difference_ci_high,full_em,b32_em,em_difference,em_difference_ci_low,em_difference_ci_high,adjusted_loss,adjusted_loss_ci_low,adjusted_loss_ci_high,mean_absolute_utility_perturbation,answer_changes,answer_change_rate,f1_improved,f1_unchanged,f1_degraded,full_correct_to_wrong,full_wrong_to_correct,both_wrong_different,unchanged_correct,unchanged_wrong,block_density_mean,block_density_median,block_density_std,block_density_q25,block_density_q75,quadratic_block_work_reduction,expanded_token_coverage_fraction,future_mass_mean,future_mass_median,future_mass_min,future_mass_p10,late_qk_av_savings,whole_t32_qk_av_savings
512,30,457.93333333333334,398,511,0.3383262924439395,0.3257811251928899,-0.012545167251049606,-0.03897207367795604,0.005149425737661031,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,-0.005682758490244548,-0.05000601162513097,0.041851929724216454,0.08733515315689147,6,0.2,3,25,2,0,0,6,4,20,0.5698713759581248,0.5683522820472717,0.021081986580566606,0.5512216091156006,0.5841382592916489,0.43012862404187524,0.6488577604293824,0.9775283077359198,0.9775390513241291,0.9755549103021621,0.9767016672343016,0.44609177225044605,0.2788073576565288
1024,30,898.8666666666667,780,1020,0.30294562735739206,0.3231837225954873,0.020238095238095236,0.0,0.05714285714285715,0.06666666666666667,0.1,0.03333333333333333,0.0,0.1,-0.025024012724558512,-0.07409094115098316,0.031456902027130106,0.10385998861553768,4,0.13333333333333333,2,28,0,0,1,3,2,24,0.4343920797109604,0.4337320327758789,0.01413432922585432,0.42681682109832764,0.4431086406111717,0.5656079202890396,0.5117835422356923,0.970699714521567,0.9710132896900177,0.9692018024623394,0.9695941323786974,0.5813377025110426,0.36333606406940167
2048,30,1973.7,1878,2042,0.253958938664821,0.3055958203017027,0.05163688163688164,0.017787426081543732,0.09286420904803254,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,-0.032133583227793375,-0.13683680097262066,0.06930355091889688,0.18033673019769292,11,0.36666666666666664,9,20,1,0,0,11,2,17,0.3751357764005661,0.37602829933166504,0.00836551304646561,0.3715575188398361,0.38136912137269974,0.6248642235994339,0.42655543287595116,0.9646411236127218,0.9646598413586617,0.9641812369227409,0.9644394465535879,0.6331303960750763,0.3957064975469226
4096,30,3927.8333333333335,3847,4000,0.3723737917855565,0.25683224183224185,-0.11554154995331466,-0.23035889355742298,-0.022478174603174614,0.2,0.06666666666666667,-0.13333333333333333,-0.26666666666666666,-0.03333333333333333,0.15838993390401204,0.059309422969818115,0.2708428125580151,0.17827462900119523,10,0.3333333333333333,2,22,6,4,0,6,2,18,0.3691682895024618,0.3696887940168381,0.0026715012537611386,0.3685681000351906,0.37054066359996796,0.6308317104975383,0.3928242107232412,0.9609287982930741,0.9608361825346947,0.9606949433684349,0.960752094462514,0.6353279368912716,0.3970799605570448
