method,method_id,number_examples,f1,em,f1_delta_vs_full,f1_delta_ci_low,f1_delta_ci_high,em_delta_vs_full,em_delta_ci_low,em_delta_ci_high,adjusted_loss,adjusted_loss_ci_low,adjusted_loss_ci_high,mean_absolute_utility_perturbation,answer_changes,answer_change_rate,full_correct_to_wrong,full_wrong_to_correct,both_wrong_different,block_density,mean_active_blocks_per_local_unit,recurrence1_attention_mass,future_full_attention_mass_retained,normalized_attention_work,theoretical_attention_work_saving
Full,full,100,0.22629013491589967,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0
B32-Static-95,b32_static_95,100,0.14670620830464012,0.02,-0.07958392661125956,-0.13022076655159845,-0.03362012614995019,-0.08,-0.14,-0.03,0.2607936626672745,-5.1086038351056385e-05,0.5274132965505122,0.9917656929045916,87,0.87,8,0,79,0.30024377079140363,7.406228908989644,0.9670270657539368,0.879744741588831,0.5563698118705296,0.44363018812947047
B32-Static-MassMatched,b32_static_massmatched,100,0.15091387777281573,0.05,-0.07537625714308396,-0.12622538640083314,-0.030867419957168157,-0.05,-0.1,-0.01,0.41154628217220307,0.21685517598688603,0.6188932520896196,0.7910709704109468,78,0.78,5,0,73,0.36783952048279844,9.084163433380466,0.9654325199127197,0.9234928058832884,0.5999029041473023,0.4000970958526977
B32-Static-SizeMatched,b32_static_sizematched,100,0.18361101670905902,0.08,-0.042679118206840644,-0.08250223784777763,-0.008713981924881785,-0.02,-0.06,0.02,0.09150724828243256,-0.033899221807718274,0.23273801326751709,0.4245191461010836,59,0.59,3,1,55,0.44992192574404877,11.186724971689792,0.9766964322328567,0.9464911343082787,0.6516629142012427,0.3483370857987573
B32-WISE@12,b32_wise_12,100,0.23173499503924952,0.1,0.005444860123349825,-0.017602561086256737,0.025657347740614327,0.0,-0.03,0.03,-0.02443065106868744,-0.05382935374975204,0.0029435716420411918,0.11013974912813865,24,0.24,1,1,22,0.44992192574404877,11.186724971689792,0.9605221509933471,0.9665668943598866,0.6513175285539252,0.3486824714460747
